"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Kentucky","Kentucky District 1",1,"James Comer","Republican",10462,14349470.83,1371.5800831581,78,"4595,4630,4663,4671,4782,4804","Congressional District 1","21"
"Kentucky","Kentucky District 2",2,"Brett Guthrie","Republican",5733,4295059.8,749.18189429618,56,"4595,4607,4611,4630,4663,4782,4804","Congressional District 2","21"
"Kentucky","Kentucky District 3",3,"Morgan McGarvey","Democratic",438,778263.88,1776.85817351598,29,"4607,4630,4663,4782","Congressional District 3","21"
"Kentucky","Kentucky District 4",4,"Thomas Massie","Republican",426,1457426.97,3421.19007042253,34,"4595,4630,4663,4782,4804","Congressional District 4","21"
"Kentucky","Kentucky District 5",5,"Hal Rogers","Republican",18798,120014905.77,6384.45078040217,258,"4595,4630,4663,4671,4782,4804","Congressional District 5","21"
"Kentucky","Kentucky District 6",6,"Andy Barr","Republican",694,2027426.31,2921.36355907781,36,"4595,4611,4630,4663,4782","Congressional District 6","21"
"Louisiana","Louisiana District 1",1,"Steve Scalise","Republican",283512,504983695.18,1781.17220851322,57,"4611,4798,4817,9807","Congressional District 1","22"
"Louisiana","Louisiana District 2",2,"Troy Carter","Democratic",280322,437065317.51,1559.15453482067,58,"4590,4606,4611,4798,4817,9807","Congressional District 2","22"
"Louisiana","Louisiana District 3",3,"Clay Higgins","Republican",28220,27196268.38,963.723188518781,51,"4590,4606,4611,4817,4856,9807","Congressional District 3","22"
"Louisiana","Louisiana District 4",4,"Mike Johnson","Republican",7500,5679144.17,757.219222666666,100,"4590,4606,4611,9807","Congressional District 4","22"
"Louisiana","Louisiana District 5",5,"Julia Letlow","Republican",60875,99197790.13,1629.53248673511,116,"4590,4606,4611,4671,4798,9807","Congressional District 5","22"
"Louisiana","Louisiana District 6",6,"Cleo Fields","Democratic",207034,261739639.27,1264.23504965368,58,"4590,4606,4611,4798,4817,9807","Congressional District 6","22"
"Maine","Maine District 1",1,"Chellie Pingree","Democratic",1838,4045850.04,2201.22417845484,120,"4671,4754,4764","Congressional District 1","23"
"Maine","Maine District 2",2,"Jared Golden","Democratic",2961,7823254.8,2642.09888551165,173,"4754,4764","Congressional District 2","23"
"Maryland","Maryland District 1",1,"Andy Harris","Republican",0,0,NA,0,NA,"Congressional District 1","24"
"Maryland","Maryland District 2",2,"Johnny Olszewski","Democratic",0,0,NA,0,NA,"Congressional District 2","24"
"Maryland","Maryland District 3",3,"Sarah Elfreth","Democratic",0,0,NA,0,NA,"Congressional District 3","24"
"Maryland","Maryland District 4",4,"Glenn Ivey","Democratic",1,0,0,1,"4611","Congressional District 4","24"
"Maryland","Maryland District 5",5,"Steny Hoyer","Democratic",0,0,NA,0,NA,"Congressional District 5","24"
"Maryland","Maryland District 6",6,"April McClain Delaney","Democratic",0,0,NA,0,NA,"Congressional District 6","24"
"Maryland","Maryland District 7",7,"Kweisi Mfume","Democratic",0,0,NA,0,NA,"Congressional District 7","24"
"Maryland","Maryland District 8",8,"Jamie Raskin","Democratic",1,0,0,1,"4827","Congressional District 8","24"
"Massachusetts","Massachusetts District 1",1,"Richard Neal","Democratic",10,30459.26,3045.926,6,"4720,4780","Congressional District 1","25"
"Massachusetts","Massachusetts District 2",2,"Jim McGovern","Democratic",909,5082759.61,5591.59473047305,27,"4671,4780","Congressional District 2","25"
"Massachusetts","Massachusetts District 3",3,"Lori Trahan","Democratic",24,77387.51,3224.47958333333,6,"4780","Congressional District 3","25"
"Massachusetts","Massachusetts District 4",4,"Jake Auchincloss","Democratic",450,2375394.85,5278.65522222222,15,"4780","Congressional District 4","25"
"Massachusetts","Massachusetts District 5",5,"Katherine Clark","Democratic",0,0,NA,0,NA,"Congressional District 5","25"
"Massachusetts","Massachusetts District 6",6,"Seth Moulton","Democratic",1,0,0,1,"4671","Congressional District 6","25"
"Massachusetts","Massachusetts District 7",7,"Ayanna Pressley","Democratic",0,0,NA,0,NA,"Congressional District 7","25"
"Massachusetts","Massachusetts District 8",8,"Stephen F. Lynch","Democratic",2,4181.24,2090.62,2,"4780","Congressional District 8","25"
"Massachusetts","Massachusetts District 9",9,"Bill Keating","Democratic",25,53345.12,2133.8048,10,"4671,4780","Congressional District 9","25"
"Michigan","Michigan District 1",1,"Jack Bergman","Republican",0,0,NA,0,NA,"Congressional District 1","26"
"Michigan","Michigan District 2",2,"John Moolenaar","Republican",203,59039.6,290.835467980296,21,"4607,4757","Congressional District 2","26"
"Michigan","Michigan District 3",3,"Hillary Scholten","Democratic",711,328013.61,461.341223628692,19,"4757","Congressional District 3","26"
"Michigan","Michigan District 4",4,"Bill Huizenga","Republican",1,0,0,1,"4607","Congressional District 4","26"
"Michigan","Michigan District 5",5,"Tim Walberg","Republican",1242,3343281.92,2691.85339774557,16,"4607,4663,4757","Congressional District 5","26"
"Michigan","Michigan District 6",6,"Debbie Dingell","Democratic",4852,9198931.14,1895.90501648805,29,"4607,4757","Congressional District 6","26"
"Michigan","Michigan District 7",7,"Tom Barrett","Republican",2185,1975172.37,903.96904805492,44,"4607,4757","Congressional District 7","26"
"Michigan","Michigan District 8",8,"Kristen McDonald Rivet","Democratic",1,0,0,1,"4607","Congressional District 8","26"
"Michigan","Michigan District 9",9,"Lisa McClain","Republican",1676,2748176.97,1639.72372911695,30,"4607,4757","Congressional District 9","26"
"Michigan","Michigan District 10",10,"John James","Republican",12648,24822425.29,1962.55734424415,26,"4607,4757","Congressional District 10","26"
"Michigan","Michigan District 11",11,"Haley Stevens","Democratic",8331,16246135.03,1950.08222662345,38,"4607,4757","Congressional District 11","26"
